action_id,global_mitigation_option,action_mapping_strength,option_family,feasibility_dimension,global_indicator,global_verdict_code,global_verdict_description,city_indicator,country_code,city_indicator_direction,city_family_scope,interpretation
icare_0024,Solar PV,weak,energy_supply,geophysical,physical_feasibility,C,supportive,silviculture_share,CL,positive,energy_supply,Cities with higher silviculture_share have stronger feasibility for 'physical_feasibility' (geophysical dimension). Bridge applies to 'energy_supply' sector. IPCC base verdict: supportive.
icare_0024,Solar PV,weak,energy_supply,geophysical,physical_feasibility,C,supportive,urban_built_share,CL,positive,energy_supply,Cities with higher urban_built_share have stronger feasibility for 'physical_feasibility' (geophysical dimension). Bridge applies to 'energy_supply' sector. IPCC base verdict: supportive.
icare_0024,Solar PV,weak,energy_supply,geophysical,limited_land_use,B,neutral,,CL,,,IPCC verdict is 'neutral' for this indicator — provides no directional evidence; the cell contributes 0 to the dimension score.
icare_0024,Solar PV,weak,energy_supply,geophysical,limited_scarce_resources,B,neutral,,CL,,,IPCC verdict is 'neutral' for this indicator — provides no directional evidence; the cell contributes 0 to the dimension score.
icare_0025,Efficient appliances,direct,buildings,economic,cost-effectiveness,C,supportive,median_household_income,CL,positive,all,Cities with higher median_household_income have stronger feasibility for 'cost-effectiveness' (economic dimension). Bridge applies to 'all' sector. IPCC base verdict: supportive.
icare_0025,Efficient appliances,direct,buildings,economic,cost-effectiveness,C,supportive,poverty_rate,CL,negative,all,Cities with higher poverty_rate have weaker feasibility for 'cost-effectiveness' (economic dimension). Bridge applies to 'all' sector. IPCC base verdict: supportive.
icare_0025,Efficient appliances,direct,buildings,economic,distributional_effects,B,neutral,,CL,,,IPCC verdict is 'neutral' for this indicator — provides no directional evidence; the cell contributes 0 to the dimension score.
icare_0025,Efficient appliances,direct,buildings,economic,employment_productivity,B,neutral,,CL,,,IPCC verdict is 'neutral' for this indicator — provides no directional evidence; the cell contributes 0 to the dimension score.
icare_0025,Efficient appliances,direct,buildings,technological,technical_scalability,C,supportive,electricity_access_rate,CL,positive,buildings,Cities with higher electricity_access_rate have stronger feasibility for 'technical_scalability' (technological dimension). Bridge applies to 'buildings' sector. IPCC base verdict: supportive.
icare_0025,Efficient appliances,direct,buildings,technological,technical_scalability,C,supportive,fixed_internet_household_share,CL,positive,buildings,Cities with higher fixed_internet_household_share have stronger feasibility for 'technical_scalability' (technological dimension). Bridge applies to 'buildings' sector. IPCC base verdict: supportive.
icare_0025,Efficient appliances,direct,buildings,technological,maturity,C,supportive,,CL,,,IPCC verdict is 'supportive' but no city-level data bridge is defined for 'maturity' at sector scope 'buildings'; the IPCC prior is used unmodified.
icare_0025,Efficient appliances,direct,buildings,technological,simplicity,C,supportive,,CL,,,IPCC verdict is 'supportive' but no city-level data bridge is defined for 'simplicity' at sector scope 'buildings'; the IPCC prior is used unmodified.
icare_0025,Efficient appliances,direct,buildings,institutional,political_acceptability,C,supportive,,CL,,,IPCC verdict is 'supportive' but no city-level data bridge is defined for 'political_acceptability' at sector scope 'buildings'; the IPCC prior is used unmodified.
icare_0025,Efficient appliances,direct,buildings,institutional,institutional_capacity,B,neutral,,CL,,,IPCC verdict is 'neutral' for this indicator — provides no directional evidence; the cell contributes 0 to the dimension score.
icare_0025,Efficient appliances,direct,buildings,socio_cultural,social_co_benefits,C,supportive,,CL,,,IPCC verdict is 'supportive' but no city-level data bridge is defined for 'social_co_benefits' at sector scope 'buildings'; the IPCC prior is used unmodified.
icare_0025,Efficient appliances,direct,buildings,technological,absence_of_risk,NE,no evidence,,CL,,,IPCC verdict is 'no evidence' for this indicator — provides no directional evidence; the cell contributes 0 to the dimension score.
icare_0025,Efficient appliances,direct,buildings,institutional,transparency_accountability,LE,limited evidence,,CL,,,IPCC verdict is 'limited evidence' for this indicator — provides no directional evidence; the cell contributes 0 to the dimension score.
icare_0025,Efficient appliances,direct,buildings,socio_cultural,public_acceptance,C,supportive,home_ownership,CL,positive,buildings,Cities with higher home_ownership have stronger feasibility for 'public_acceptance' (socio_cultural dimension). Bridge applies to 'buildings' sector. IPCC base verdict: supportive.
icare_0025,Efficient appliances,direct,buildings,socio_cultural,public_acceptance,C,supportive,renter_share,CL,negative,buildings,Cities with higher renter_share have weaker feasibility for 'public_acceptance' (socio_cultural dimension). Bridge applies to 'buildings' sector. IPCC base verdict: supportive.
icare_0025,Efficient appliances,direct,buildings,socio_cultural,inclusiveness,B,neutral,,CL,,,IPCC verdict is 'neutral' for this indicator — provides no directional evidence; the cell contributes 0 to the dimension score.
icare_0025,Efficient appliances,direct,buildings,environmental,air_pollution,C,supportive,,CL,,,IPCC verdict is 'supportive' but no city-level data bridge is defined for 'air_pollution' at sector scope 'buildings'; the IPCC prior is used unmodified.
icare_0025,Efficient appliances,direct,buildings,environmental,toxic_waste,C,supportive,,CL,,,IPCC verdict is 'supportive' but no city-level data bridge is defined for 'toxic_waste' at sector scope 'buildings'; the IPCC prior is used unmodified.
icare_0025,Efficient appliances,direct,buildings,environmental,water_use,C,supportive,,CL,,,IPCC verdict is 'supportive' but no city-level data bridge is defined for 'water_use' at sector scope 'buildings'; the IPCC prior is used unmodified.
icare_0025,Efficient appliances,direct,buildings,geophysical,physical_feasibility,C,supportive,urban_built_share,CL,positive,buildings,Cities with higher urban_built_share have stronger feasibility for 'physical_feasibility' (geophysical dimension). Bridge applies to 'buildings' sector. IPCC base verdict: supportive.
icare_0025,Efficient appliances,direct,buildings,geophysical,limited_scarce_resources,LE,limited evidence,,CL,,,IPCC verdict is 'limited evidence' for this indicator — provides no directional evidence; the cell contributes 0 to the dimension score.
icare_0028,Low/zero-energy buildings,direct,buildings,economic,cost-effectiveness,C,supportive,median_household_income,CL,positive,all,Cities with higher median_household_income have stronger feasibility for 'cost-effectiveness' (economic dimension). Bridge applies to 'all' sector. IPCC base verdict: supportive.
icare_0028,Low/zero-energy buildings,direct,buildings,economic,cost-effectiveness,C,supportive,poverty_rate,CL,negative,all,Cities with higher poverty_rate have weaker feasibility for 'cost-effectiveness' (economic dimension). Bridge applies to 'all' sector. IPCC base verdict: supportive.
icare_0028,Low/zero-energy buildings,direct,buildings,economic,distributional_effects,C,supportive,poverty_rate,CL,negative,all,Cities with higher poverty_rate have weaker feasibility for 'distributional_effects' (economic dimension). Bridge applies to 'all' sector. IPCC base verdict: supportive.
icare_0028,Low/zero-energy buildings,direct,buildings,economic,distributional_effects,C,supportive,home_ownership,CL,positive,buildings,Cities with higher home_ownership have stronger feasibility for 'distributional_effects' (economic dimension). Bridge applies to 'buildings' sector. IPCC base verdict: supportive.
icare_0028,Low/zero-energy buildings,direct,buildings,economic,distributional_effects,C,supportive,renter_share,CL,negative,buildings,Cities with higher renter_share have weaker feasibility for 'distributional_effects' (economic dimension). Bridge applies to 'buildings' sector. IPCC base verdict: supportive.
icare_0028,Low/zero-energy buildings,direct,buildings,economic,employment_productivity,C,supportive,unemployment_rate,CL,positive,all,Cities with higher unemployment_rate have stronger feasibility for 'employment_productivity' (economic dimension). Bridge applies to 'all' sector. IPCC base verdict: supportive.
icare_0028,Low/zero-energy buildings,direct,buildings,economic,employment_productivity,C,supportive,industry_construction_employment,CL,positive,buildings,Cities with higher industry_construction_employment have stronger feasibility for 'employment_productivity' (economic dimension). Bridge applies to 'buildings' sector. IPCC base verdict: supportive.
icare_0028,Low/zero-energy buildings,direct,buildings,technological,technical_scalability,C,supportive,electricity_access_rate,CL,positive,buildings,Cities with higher electricity_access_rate have stronger feasibility for 'technical_scalability' (technological dimension). Bridge applies to 'buildings' sector. IPCC base verdict: supportive.
icare_0028,Low/zero-energy buildings,direct,buildings,technological,technical_scalability,C,supportive,fixed_internet_household_share,CL,positive,buildings,Cities with higher fixed_internet_household_share have stronger feasibility for 'technical_scalability' (technological dimension). Bridge applies to 'buildings' sector. IPCC base verdict: supportive.
icare_0028,Low/zero-energy buildings,direct,buildings,technological,maturity,B,neutral,,CL,,,IPCC verdict is 'neutral' for this indicator — provides no directional evidence; the cell contributes 0 to the dimension score.
icare_0028,Low/zero-energy buildings,direct,buildings,institutional,political_acceptability,C,supportive,,CL,,,IPCC verdict is 'supportive' but no city-level data bridge is defined for 'political_acceptability' at sector scope 'buildings'; the IPCC prior is used unmodified.
icare_0028,Low/zero-energy buildings,direct,buildings,institutional,institutional_capacity,B,neutral,,CL,,,IPCC verdict is 'neutral' for this indicator — provides no directional evidence; the cell contributes 0 to the dimension score.
icare_0028,Low/zero-energy buildings,direct,buildings,socio_cultural,social_co_benefits,B,neutral,,CL,,,IPCC verdict is 'neutral' for this indicator — provides no directional evidence; the cell contributes 0 to the dimension score.
icare_0028,Low/zero-energy buildings,direct,buildings,technological,simplicity,LE,limited evidence,,CL,,,IPCC verdict is 'limited evidence' for this indicator — provides no directional evidence; the cell contributes 0 to the dimension score.
icare_0028,Low/zero-energy buildings,direct,buildings,technological,absence_of_risk,NE,no evidence,,CL,,,IPCC verdict is 'no evidence' for this indicator — provides no directional evidence; the cell contributes 0 to the dimension score.
icare_0028,Low/zero-energy buildings,direct,buildings,institutional,transparency_accountability,LE,limited evidence,,CL,,,IPCC verdict is 'limited evidence' for this indicator — provides no directional evidence; the cell contributes 0 to the dimension score.
icare_0028,Low/zero-energy buildings,direct,buildings,environmental,air_pollution,B,neutral,,CL,,,IPCC verdict is 'neutral' for this indicator — provides no directional evidence; the cell contributes 0 to the dimension score.
